2025년 전체 선택 온실가스 배출량 통계(가스(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"8,316,710.49","1,429,751.20","1,455,724.09","1,077,234.47","713,736.68","460,039.85","320,879.20","294,381.44","285,532.92","265,373.64","314,890.41","614,667.96","1,084,498.61"
2,강남구,"585,845.62","99,368.00","105,998.80","92,033.85","49,213.88","31,787.65","22,993.84","24,604.76","27,471.17","26,424.01","23,330.46","30,836.57","51,782.64"
3,강동구,"352,871.35","62,759.89","63,630.38","51,443.35","39,174.81","27,341.01","12,569.05","10,078.91","10,041.39","8,942.02","9,673.04","19,893.50","37,324.00"
4,강북구,"250,568.18","43,597.21","46,545.87","36,587.00","23,742.43","15,143.08","9,093.50","6,852.60","5,823.75","5,473.84","7,547.27","18,046.65","32,114.98"
5,강서구,"407,529.80","74,905.24","68,711.94","46,303.68","33,366.43","21,755.40","14,068.76","13,289.26","13,037.82","11,578.32","17,582.47","35,042.91","57,887.56"
6,관악구,"415,619.97","73,332.61","69,660.53","44,826.03","30,313.04","17,901.97","14,297.42","12,651.71","11,564.77","11,180.80","19,077.58","41,763.29","69,050.20"
7,광진구,"326,780.01","55,595.06","60,478.68","44,630.32","27,536.88","16,834.12","13,395.71","10,432.81","9,421.85","9,023.99","11,553.74","23,817.10","44,059.77"
8,구로구,"300,429.32","55,189.67","38,202.60","39,303.21","26,263.68","15,772.98","12,926.40","10,619.31","9,910.64","9,199.26","11,302.10","24,755.62","46,983.86"
9,금천구,"204,395.81","34,201.56","37,108.41","25,247.18","17,551.11","11,138.59","7,939.66","6,525.24","6,190.85","5,899.84","7,494.63","16,218.85","28,879.90"
10,노원구,"385,762.67","71,987.10","78,010.74","67,706.81","46,080.31","26,932.62","11,146.27","9,745.46","9,022.11","8,534.33","9,418.81","17,183.34","29,994.77"
11,도봉구,"237,642.45","40,936.42","43,762.78","34,229.00","23,098.50","15,478.11","8,423.10","6,729.45","5,831.55","5,257.04","7,565.32","16,632.20","29,699.00"
12,동대문구,"283,062.51","46,733.19","51,788.11","36,974.20","22,775.99","13,478.06","12,143.52","9,580.90","8,831.62","8,088.89","10,018.52","21,436.91","41,212.61"
13,동작구,"316,297.93","55,922.57","53,369.75","34,400.13","22,149.55","13,283.61","10,895.70","9,674.93","9,144.74","8,710.22","14,186.49","31,404.23","53,156.01"
14,마포구,"371,589.53","64,354.49","61,498.72","43,229.94","31,616.01","23,602.47","13,197.98","12,786.33","12,276.82","11,469.96","14,756.45","31,240.79","51,559.57"
15,서대문구,"283,562.37","47,569.50","45,675.39","29,641.56","20,137.22","12,534.42","11,459.23","11,489.21","10,814.05","10,125.95","12,694.58","26,521.94","44,899.32"
16,서초구,"392,296.05","61,981.57","63,480.64","49,926.06","33,265.50","20,802.99","16,076.10","16,701.96","18,891.30","18,174.26","18,156.33","28,011.67","46,827.68"
17,성동구,"255,511.23","41,028.91","45,014.45","32,924.52","21,029.86","13,354.48","11,671.81","9,903.58","8,860.56","8,291.47","9,663.34","18,607.66","35,160.59"
18,성북구,"359,178.05","59,801.79","64,528.89","49,943.92","31,110.86","19,173.51","14,970.19","12,156.98","10,806.78","9,730.57","11,567.71","25,604.54","49,782.31"
19,송파구,"449,377.81","71,118.06","82,454.06","69,675.48","47,026.40","24,713.56","17,852.88","16,423.37","18,562.26","17,910.06","15,965.11","24,331.29","43,345.27"
20,양천구,"329,717.17","71,750.85","70,490.22","42,821.01","33,566.06","28,210.98","7,668.63","6,431.19","6,030.32","5,733.73","8,384.04","17,951.72","30,678.42"
21,영등포구,"370,516.55","61,577.28","59,631.57","37,843.55","24,810.24","16,226.30","15,682.40","15,808.14","15,321.19","13,645.20","17,008.45","33,727.44","59,234.80"
22,용산구,"236,665.41","40,510.79","41,118.59","28,125.33","18,162.75","11,703.49","9,932.59","9,467.09","8,883.81","8,203.11","9,266.75","18,179.65","33,111.46"
23,은평구,"334,908.21","60,014.91","56,499.74","36,843.27","25,426.34","15,894.99","10,729.89","9,689.03","8,783.36","8,294.96","15,107.52","33,142.88","54,481.33"
24,종로구,"275,052.56","42,483.91","46,467.27","30,758.32","19,772.09","13,722.04","13,231.50","14,746.27","13,812.78","12,188.44","11,105.78","20,146.01","36,618.16"
25,중구,"301,677.14","42,933.61","47,115.02","30,126.24","19,754.44","15,410.63","17,433.68","20,122.62","18,855.48","16,995.88","13,351.53","20,390.18","39,187.84"
26,중랑구,"289,852.79","50,097.03","54,480.95","41,690.52","26,792.32","17,842.77","11,079.38","7,870.36","7,341.96","6,297.51","9,112.38","19,781.03","37,466.56"
