2026년 전체 선택 온실가스 배출량 통계(전기(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"5,138,755.13","1,856,634.77","1,807,426.09","1,474,694.26",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,강남구,"557,798.73","202,903.36","197,151.22","157,744.15",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,강동구,"173,825.79","62,367.82","61,700.06","49,757.92",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,강북구,"96,636.58","34,416.59","35,123.14","27,096.84",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,강서구,"290,035.52","104,469.07","101,421.27","84,145.17",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,관악구,"189,773.35","67,062.94","68,619.21","54,091.20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,광진구,"147,894.73","53,006.92","52,099.74","42,788.07",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,구로구,"183,541.83","67,398.48","63,687.33","52,456.02",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,금천구,"186,961.43","69,034.50","62,610.04","55,316.89",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,노원구,"164,625.67","59,213.57","58,631.66","46,780.45",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,도봉구,"102,266.86","36,529.39","36,569.51","29,167.96",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,동대문구,"151,946.70","54,439.99","54,513.21","42,993.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,동작구,"136,568.92","49,114.84","48,435.20","39,018.88",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,마포구,"263,307.10","95,083.36","91,468.49","76,755.25",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,서대문구,"145,840.70","53,057.70","50,197.78","42,585.23",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,서초구,"320,113.10","114,871.27","115,045.87","90,195.96",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,성동구,"163,740.77","59,289.74","57,826.34","46,624.68",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,성북구,"169,184.88","60,512.84","60,112.04","48,560.01",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,송파구,"335,121.08","122,849.95","118,126.08","94,145.05",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,양천구,"186,848.06","65,167.07","65,719.62","55,961.37",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,영등포구,"274,583.97","99,971.55","94,176.33","80,436.09",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,용산구,"169,873.97","61,233.58","59,682.21","48,958.19",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,은평구,"170,853.30","60,594.41","60,748.99","49,509.90",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,종로구,"184,778.12","67,969.42","64,449.95","52,358.74",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,중구,"244,500.63","90,514.27","83,148.87","70,837.49",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,중랑구,"128,133.33","45,562.13","46,161.95","36,409.26",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
