2021년 전체 선택 온실가스 배출량 통계(지역난방(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"672,225.25","136,587.66","97,172.48","68,521.21","39,259.52","29,465.72","22,576.02","23,617.96","21,038.94","19,562.57","34,034.86","66,383.94","114,004.37"
2,강남구,"118,588.90","24,856.86","17,900.38","12,745.84","7,192.99","4,952.30","2,914.37","2,619.04","2,226.08","2,458.50","6,318.24","12,956.34","21,447.96"
3,강동구,"20,469.11","4,297.32","3,055.30","2,192.45","1,281.95",978.59,599.14,416.53,347.40,489.20,"1,046.44","2,130.00","3,634.79"
4,강북구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,강서구,"84,590.08","15,123.44","10,711.87","7,485.33","4,172.60","3,536.35","4,111.82","5,962.06","5,646.80","4,043.28","4,096.74","7,006.26","12,693.53"
6,관악구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,광진구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,구로구,"6,805.59","1,481.24","1,042.85",695.05,404.46,298.72,193.21,139.82,123.40,158.88,318.26,697.13,"1,252.56"
9,금천구,914.99,211.38,148.97,99.89,55.73,26.72,18.31,12.44,9.47,13.72,43.67,98.77,175.92
10,노원구,"65,453.77","14,308.33","10,127.55","7,138.77","4,076.04","2,874.43","1,692.97","1,134.73",913.42,"1,323.45","3,319.59","6,834.43","11,710.07"
11,도봉구,"10,309.93","2,283.49","1,618.39","1,130.19",631.45,428.07,243.99,166.56,133.13,194.84,520.26,"1,103.19","1,856.37"
12,동대문구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,동작구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,마포구,"51,749.99","6,848.10","5,057.67","4,059.68","3,077.79","3,268.04","3,805.64","4,665.78","4,315.79","3,541.28","3,253.48","3,910.19","5,946.57"
15,서대문구,"9,632.62","2,057.09","1,478.64","1,055.94",622.12,458.09,278.01,189.15,148.32,206.04,465.77,974.49,"1,698.97"
16,서초구,"48,314.80","10,420.03","7,495.09","5,339.53","3,014.24","2,009.32","1,152.83",853.53,716.74,933.76,"2,439.08","5,159.37","8,781.27"
17,성동구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,성북구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,송파구,"115,490.89","23,576.75","16,513.24","11,432.55","6,434.70","4,861.34","4,220.11","4,719.27","4,138.76","3,552.03","5,550.76","11,083.44","19,407.94"
20,양천구,"70,271.71","15,227.76","10,906.57","7,586.56","4,278.26","3,063.36","1,836.33","1,549.40","1,299.82","1,448.24","3,402.82","7,171.57","12,501.02"
21,영등포구,"22,532.32","5,760.60","3,922.47","2,382.64","1,046.33",601.86,327.28,241.74,203.66,258.34,878.55,"2,337.99","4,570.85"
22,용산구,"16,096.83","3,597.11","2,577.04","1,850.14","1,041.50",719.61,343.59,239.90,199.89,269.98,802.08,"1,667.57","2,788.43"
23,은평구,"20,110.95","4,256.15","3,025.79","2,201.31","1,298.44",937.33,556.87,422.76,347.58,434.02,"1,023.19","2,087.35","3,520.16"
24,종로구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,중구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,중랑구,"10,892.75","2,282.01","1,590.65","1,125.34",630.92,451.59,281.55,285.24,268.68,237.03,555.92,"1,165.85","2,017.98"
